german_word,english_word,times_correct_g2e,times_correct_e2g
ähnlich,similar,0,0
anders,different(ly),0,0
Gegenteil das,opposite,0,0
hoch; höher; höchst,high; higher; highest,0,0
im Großen und Ganzen,by and large,0,0
so ... wie,as ... as,0,0
so viel(e) ... wie,as much/many ... as,0,0
Unterschied der,difference,0,0
unterschiedlich,different,0,0
vergleichen,to compare,0,0
Vergleich der,comparison,0,0
verschieden,different,0,0
viel; mehr; am meisten,much; more; most,0,0
wenigstens,at least,0,0
als,when,0,0
als ob,as if,0,0
bevor,before,0,0
bis,until; to,0,0
damit,so that; in order that,0,0
denn,as; since,0,0
entweder ... oder ...,either ... or ...,0,0
nachdem,after; afterwards,0,0
nicht nur ... sondern auch,not only ... but also,0,0
ob,whether,0,0
obwohl,although,0,0
seitdem,since,0,0
sodass (so...dass),so ... that,0,0
sowohl ... als auch ...,both ... and...,0,0
um ... zu,(in order) to,0,0
weder ... noch,neither ... nor,0,0
abgesehen davon,apart from this,0,0
angenommen dass,assuming that,0,0
außer,besides; apart from; except,0,0
außerdem,besides; furthermore,0,0
danach,afterwards,0,0
das heißt (d.h.),that is (ie),0,0
dennoch,nevertheless,0,0
deshalb,therefore; because of that,0,0
deswegen,therefore; because of that,0,0
doch,after all; on the contrary; yes,0,0
drittens,thirdly,0,0
eigentlich,actually; really,0,0
erstens,firstly,0,0
jedoch,however,0,0
leider,unfortunately,0,0
natürlich,of course; naturally,0,0
ohne Zweifel,without a doubt,0,0
schließlich,eventually; in the end; finally,0,0
sonst,otherwise; or else,0,0
sowieso,anyway; anyhow; in any case,0,0
trotzdem,nevertheless,0,0
vorausgesetzt dass,provided that,0,0
zuerst,(at) first,0,0
zufällig,by chance,0,0
zweitens,secondly,0,0
ab,from,0,0
an,at; to; on; close by,0,0
auf,on; upon; onto; on top of,0,0
aus,from; out of,0,0
bei,near; at,0,0
durch,through,0,0
entlang,along,0,0
gegen,against; at about; around,0,0
gegenüber,opposite,0,0
hinter,behind,0,0
nach,after; to; according to,0,0
neben,next to,0,0
ohne,without,0,0
über,over; above,0,0
um,around; at,0,0
unter,under; below,0,0
von,from; by; of,0,0
vor,in front of; before; ago,0,0
vorbei,over; past; by,0,0
während,during,0,0
wegen,because of,0,0
zu,to; at; for,0,0
zwischen,between,0,0
gar nicht,not at all,0,0
nicht einmal,not even,0,0
nicht mehr,no longer,0,0
nichts,nothing,0,0
nie,never,0,0
niemals,never,0,0
niemand,nobody,0,0
nirgend...,no...,0,0
noch nicht,not yet; still not,0,0
überhaupt nicht,not at all,0,0
Buchstabe der,letter,0,0
buchstabieren,to spell,0,0
Dutzend das,dozen,0,0
Nummer die,number,0,0
Paar das,pair,0,0
Zahl die,number; figure; digit,0,0
Bargeld das,cash,0,0
ein 1/2/5 - Euro-Stück,a 1/2/5 Euro coin,0,0
ein 10/20/50 - Euro-Schein,a 10/20/50 Euro note,0,0
Geldschein der,note,0,0
Geldstück das,coin,0,0
Kleingeld das,small change,0,0
Münze die,coin,0,0
Taschengeld das,pocket money,0,0
wechseln,to change,0,0
Wann?,When?,0,0
Warum?,Why?,0,0
Was für...?,What sort/type of...?,0,0
Was?,What?,0,0
Welcher/Welche/Welches?,Which?,0,0
Wer?,Who?,0,0
Wie lang(e)?,How long?,0,0
Wie viel(e)?,How much/many?,0,0
Wie?,How?,0,0
Wieso?,Why? How come ...?,0,0
Wo?,Where?,0,0
Woher?,Where from?,0,0
Wohin?,Where to?,0,0
Womit?,What with?,0,0
Alles Gute!,All the best,0,0
Bis bald!,See you later,0,0
Entschuldigung!,Excuse me/Sorry,0,0
Frohe Weihnachten!,Merry Christmas,0,0
Gern geschehen!,Don't mention it,0,0
Herzlich willkommen!,Welcome,0,0
Herzlichen Glückwunsch!,Congratulations,0,0
Prost!,Cheers,0,0
Schöne Ferien!,Have a good/nice holiday,0,0
Viel Glück!,Good luck,0,0
Ahnung die,idea; suspicion,0,0
amüsant,amusing; funny,0,0
angenehm,pleasant; agreeable,0,0
Angst haben,to be afraid/scared,0,0
ängstlich,anxious; apprehensive,0,0
ausgezeichnet,excellent,0,0
bequem,comfortable,0,0
bestimmt,definite(ly)/certain(ly),0,0
billig,cheap,0,0
blöd,stupid,0,0
Blödsinn der,nonsense; rubbish,0,0
böse,naughty; evil; angry,0,0
dafür (sein),(to be) in favour of something,0,0
dagegen (sein),(to be) against/opposed to something,0,0
das ist mir egal,it doesn't matter; it's all the same to me,0,0
denken,to think,0,0
deprimiert,depressed,0,0
die Nase voll haben,to be fed up with something,0,0
doof,stupid,0,0
eindrucksvoll,impressive,0,0
einfach,simple; simply; easy,0,0
entsetzlich,terrible; awful; appalling,0,0
es/das stimmt (nicht),that's (not) right/correct,0,0
es gefällt mir,I like it (it pleases me),0,0
es kommt darauf an; ob ...,it depends on ...; whether ...,0,0
es satt haben,to be fed up with something,0,0
froh,happy; glad; pleased,0,0
furchtbar,terrible; dreadful; awful,0,0
gefallen,to like; to please,0,0
gemütlich,cosy; comfortable,0,0
genießen,to enjoy,0,0
glauben,to believe,0,0
hassen,to hate,0,0
herrlich,marvellous; magnificent; glorious,0,0
hervorragend,excellent; outstanding,0,0
interessieren (sich für),to be interested in,0,0
keine Ahnung haben,to have no idea/no clue,0,0
klasse,brilliant; great,0,0
kompliziert,complicated,0,0
langweilen (sich),to be bored,0,0
lieb,kind; lovely; dear,0,0
lieben,to love,0,0
lustig,funny,0,0
meinen,to think,0,0
Meinung die,opinion,0,0
mies,rotten; lousy,0,0
möglich,possible,0,0
mühelos,effortless,0,0
mühsam,arduous; laborious; with difficulty,0,0
nützlich,useful,0,0
nutzlos,useless,0,0
prima,great; fantastic,0,0
sauer sein,to be cross; annoyed,0,0
schade,it's a shame/pity,0,0
schrecklich,terrible; horrible,0,0
schwierig,difficult,0,0
sensibel,sensitive,0,0
sicher,sure; safe,0,0
sogar,even,0,0
Spitze!,great,0,0
teuer,expensive; dear,0,0
typisch,typical(ly),0,0
überrascht,surprised,0,0
unglaublich,unbelievable,0,0
unmöglich,impossible,0,0
unsicher,unsure,0,0
vielleicht,perhaps,0,0
völlig,completely,0,0
vorziehen,to prefer,0,0
wahrscheinlich,probably,0,0
wichtig,important,0,0
wirklich,real(ly),0,0
wunderbar,wonderful,0,0
wunderschön,gorgeous; very beautiful,0,0
wünschen (sich),to wish,0,0
zufrieden,content; happy,0,0
zustimmen,to agree,0,0
Jahreszeit die,season,0,0
Jahr das,year,0,0
Monat der,month,0,0
genau,exactly,0,0
halb,half,0,0
Mittag der,midday,0,0
Mitternacht die,midnight,0,0
nachgehen,to be slow,0,0
pünktlich,punctual; on time,0,0
spät,late,0,0
Uhr die,clock; watch; o'clock,0,0
Um wie viel Uhr?,at what time; when?,0,0
Viertel das,quarter,0,0
vorgehen,to be fast,0,0
Wie spät ist es?,What time is it?,0,0
Wie viel Uhr ist es?,What time is it?,0,0
Zeit die,time,0,0
ab und zu,now and again,0,0
Abend der,evening,0,0
abends,in the evenings,0,0
Anfang der,beginning; start,0,0
Augenblick der,moment; instant,0,0
aus sein,to be over; finished,0,0
bald,soon,0,0
damals,then; in those days,0,0
Datum das,date,0,0
ehemalig,former,0,0
einmal,once,0,0
endlich,finally,0,0
erst,(at) first; only,0,0
fast,almost; nearly,0,0
früh,early,0,0
Gegenwart die,present (time; tense),0,0
gerade,just,0,0
gestern,yesterday,0,0
gewöhnlich,usually; normally,0,0
gleich,immediately; in a minute,0,0
heute,today,0,0
heutzutage,nowadays; these days,0,0
im Voraus,in advance,0,0
immer,always,0,0
immer wieder,again and again,0,0
inzwischen,in the meantime,0,0
Jahrhundert das,century,0,0
jetzt,now,0,0
kürzlich,recently; lately,0,0
langsam,slow(ly),0,0
letzter/letzte/letztes,last,0,0
Mal das,time,0,0
~mal,~ times,0,0
manchmal,sometimes,0,0
montags,on Mondays,0,0
morgen,tomorrow,0,0
Morgen der,morning,0,0
morgen früh,tomorrow morning,0,0
morgens,in the mornings; every morning,0,0
nachher,afterwards,0,0
Nachmittag der,afternoon,0,0
nächster/nächste/nächstes,next,0,0
Nacht die,night,0,0
nachts,at night,0,0
neulich,recently; the other day,0,0
noch einmal,once again; once more,0,0
normalerweise,normally; usually,0,0
nun,now,0,0
plötzlich,suddenly,0,0
regelmäßig,regular,0,0
schnell,quick(ly),0,0
schon,already,0,0
seit,since; for (length of time),0,0
selten,seldom; rarely,0,0
sofort,immediately; straight away,0,0
täglich,daily,0,0
übermorgen,the day after tomorrow,0,0
Vergangenheit die,past (time; tense),0,0
(bis) vor kurzem,(until) recently,0,0
vorgestern,the day before yesterday,0,0
vorher,before(hand),0,0
Vormittag der,morning,0,0
Zeitpunkt der,point in time,0,0
zu Ende sein,to come to an end; to finish,0,0
Zukunft die,future (time; tense),0,0
außen,outside,0,0
außerhalb,outside of,0,0
da,here; there,0,0
draußen,outside; outdoors,0,0
drinnen,inside; indoors,0,0
drüben,over there,0,0
entfernt,distant; (far) away,0,0
geradeaus,straight ahead,0,0
her~,from ~ (towards the speaker),0,0
hin und her,to and fro,0,0
hin und zurück,there and back; return (ticket),0,0
hin~,away ~ (from the speaker),0,0
in der Nähe von,nearby; close to,0,0
irgendwo,somewhere,0,0
liegen,to lie; to be situated (in),0,0
Meile die,mile,0,0
