german_word,english_word
ähnlich,similar
anders,different(ly)
Gegenteil das,opposite
hoch; höher; höchst,high; higher; highest
im Großen und Ganzen,by and large
so ... wie,as ... as
so viel(e) ... wie,as much/many ... as
Unterschied der,difference
unterschiedlich,different
vergleichen,to compare
Vergleich der,comparison
verschieden,different
viel; mehr; am meisten,much; more; most
wenigstens,at least
als,when
als ob,as if
bevor,before
bis,until; to
damit,so that; in order that
denn,as; since
entweder ... oder ...,either ... or ...
nachdem,after; afterwards
nicht nur ... sondern auch,not only ... but also
ob,whether
obwohl,although
seitdem,since
sodass (so...dass),so ... that
sowohl ... als auch ...,both ... and...
um ... zu,(in order) to
weder ... noch,neither ... nor
abgesehen davon,apart from this
angenommen dass,assuming that
außer,besides; apart from; except
außerdem,besides; furthermore
danach,afterwards
das heißt (d.h.),that is (ie)
dennoch,nevertheless
deshalb,therefore; because of that
deswegen,therefore; because of that
doch,after all; on the contrary; yes
drittens,thirdly
eigentlich,actually; really
erstens,firstly
jedoch,however
leider,unfortunately
natürlich,of course; naturally
ohne Zweifel,without a doubt
schließlich,eventually; in the end; finally
sonst,otherwise; or else
sowieso,anyway; anyhow; in any case
trotzdem,nevertheless
vorausgesetzt dass,provided that
zuerst,(at) first
zufällig,by chance
zweitens,secondly
ab,from
an,at; to; on; close by
auf,on; upon; onto; on top of
aus,from; out of
bei,near; at
durch,through
entlang,along
gegen,against; at about; around
gegenüber,opposite
hinter,behind
nach,after; to; according to
neben,next to
ohne,without
über,over; above
um,around; at
unter,under; below
von,from; by; of
vor,in front of; before; ago
vorbei,over; past; by
während,during
wegen,because of
zu,to; at; for
zwischen,between
gar nicht,not at all
nicht einmal,not even
nicht mehr,no longer
nichts,nothing
nie,never
niemals,never
niemand,nobody
nirgend...,no...
noch nicht,not yet; still not
überhaupt nicht,not at all
Buchstabe der,letter
buchstabieren,to spell
Dutzend das,dozen
Nummer die,number
Paar das,pair
Zahl die,number; figure; digit
Bargeld das,cash
ein 1/2/5 - Euro-Stück,a 1/2/5 Euro coin
ein 10/20/50 - Euro-Schein,a 10/20/50 Euro note
Geldschein der,note
Geldstück das,coin
Kleingeld das,small change
Münze die,coin
Taschengeld das,pocket money
wechseln,to change
Wann?,When?
Warum?,Why?
Was für...?,What sort/type of...?
Was?,What?
Welcher/Welche/Welches?,Which?
Wer?,Who?
Wie lang(e)?,How long?
Wie viel(e)?,How much/many?
Wie?,How?
Wieso?,Why? How come ...?
Wo?,Where?
Woher?,Where from?
Wohin?,Where to?
Womit?,What with?
Alles Gute!,All the best
Bis bald!,See you later
Entschuldigung!,Excuse me/Sorry
Frohe Weihnachten!,Merry Christmas
Gern geschehen!,Don't mention it
Herzlich willkommen!,Welcome
Herzlichen Glückwunsch!,Congratulations
Prost!,Cheers
Schöne Ferien!,Have a good/nice holiday
Viel Glück!,Good luck
Ahnung die,idea; suspicion
amüsant,amusing; funny
angenehm,pleasant; agreeable
Angst haben,to be afraid/scared
ängstlich,anxious; apprehensive
ausgezeichnet,excellent
bequem,comfortable
bestimmt,definite(ly)/certain(ly)
billig,cheap
blöd,stupid
Blödsinn der,nonsense; rubbish
böse,naughty; evil; angry
dafür (sein),(to be) in favour of something
dagegen (sein),(to be) against/opposed to something
das ist mir egal,it doesn't matter; it's all the same to me
denken,to think
deprimiert,depressed
die Nase voll haben,to be fed up with something
doof,stupid
eindrucksvoll,impressive
einfach,simple; simply; easy
entsetzlich,terrible; awful; appalling
es/das stimmt (nicht),that's (not) right/correct
es gefällt mir,I like it (it pleases me)
es kommt darauf an; ob ...,it depends on ...; whether ...
es satt haben,to be fed up with something
froh,happy; glad; pleased
furchtbar,terrible; dreadful; awful
gefallen,to like; to please
gemütlich,cosy; comfortable
genießen,to enjoy
glauben,to believe
hassen,to hate
herrlich,marvellous; magnificent; glorious
hervorragend,excellent; outstanding
interessieren (sich für),to be interested in
keine Ahnung haben,to have no idea/no clue
klasse,brilliant; great
kompliziert,complicated
langweilen (sich),to be bored
lieb,kind; lovely; dear
lieben,to love
lustig,funny
meinen,to think
Meinung die,opinion
mies,rotten; lousy
möglich,possible
mühelos,effortless
mühsam,arduous; laborious; with difficulty
nützlich,useful
nutzlos,useless
prima,great; fantastic
sauer sein,to be cross; annoyed
schade,it's a shame/pity
schrecklich,terrible; horrible
schwierig,difficult
sensibel,sensitive
sicher,sure; safe
sogar,even
Spitze!,great
teuer,expensive; dear
typisch,typical(ly)
überrascht,surprised
unglaublich,unbelievable
unmöglich,impossible
unsicher,unsure
vielleicht,perhaps
völlig,completely
vorziehen,to prefer
wahrscheinlich,probably
wichtig,important
wirklich,real(ly)
wunderbar,wonderful
wunderschön,gorgeous; very beautiful
wünschen (sich),to wish
zufrieden,content; happy
zustimmen,to agree
Jahreszeit die,season
Jahr das,year
Monat der,month
genau,exactly
halb,half
Mittag der,midday
Mitternacht die,midnight
nachgehen,to be slow
pünktlich,punctual; on time
spät,late
Uhr die,clock; watch; o'clock
Um wie viel Uhr?,at what time; when?
Viertel das,quarter
vorgehen,to be fast
Wie spät ist es?,What time is it?
Wie viel Uhr ist es?,What time is it?
Zeit die,time
ab und zu,now and again
Abend der,evening
abends,in the evenings
Anfang der,beginning; start
Augenblick der,moment; instant
aus sein,to be over; finished
bald,soon
damals,then; in those days
Datum das,date
ehemalig,former
einmal,once
endlich,finally
erst,(at) first; only
fast,almost; nearly
früh,early
Gegenwart die,present (time; tense)
gerade,just
gestern,yesterday
gewöhnlich,usually; normally
gleich,immediately; in a minute
heute,today
heutzutage,nowadays; these days
im Voraus,in advance
immer,always
immer wieder,again and again
inzwischen,in the meantime
Jahrhundert das,century
jetzt,now
kürzlich,recently; lately
langsam,slow(ly)
letzter/letzte/letztes,last
Mal das,time
~mal,~ times
manchmal,sometimes
montags,on Mondays
morgen,tomorrow
Morgen der,morning
morgen früh,tomorrow morning
morgens,in the mornings; every morning
nachher,afterwards
Nachmittag der,afternoon
nächster/nächste/nächstes,next
Nacht die,night
nachts,at night
neulich,recently; the other day
noch einmal,once again; once more
normalerweise,normally; usually
nun,now
